1	1999-04-13	01	03	17	20	25	26
2	1999-04-27	02	11	12	21	30	28
3	1999-05-11	01	08	10	24	30	28
4	1999-05-25	11	12	14	20	31	29
5	1999-06-08	08	09	15	21	25	23
6	1999-06-22	02	11	16	24	29	04
7	1999-07-06	03	24	25	26	31	02
8	1999-07-20	22	24	25	28	30	21
9	1999-08-03	02	11	12	13	28	15
10	1999-08-17	08	19	21	23	30	05
11	1999-08-31	17	18	19	20	30	31
12	1999-09-14	05	09	13	16	19	21
13	1999-09-28	06	11	18	25	28	20
14	1999-10-05	02	21	24	26	29	28
15	1999-10-12	06	08	17	23	24	22
16	1999-10-19	02	20	24	26	27	23
17	1999-10-26	10	18	20	25	27	01
18	1999-11-02	01	14	16	23	25	27
19	1999-11-09	02	09	10	22	27	01
20	1999-11-16	14	20	22	25	30	15
21	1999-11-23	03	15	22	25	31	06
22	1999-11-30	04	06	26	28	30	14
23	1999-12-07	02	13	18	22	26	15
24	1999-12-14	12	14	19	26	28	15
25	1999-12-21	02	03	07	18	29	15
26	1999-12-28	07	08	09	14	15	04
27	2000-01-04	10	16	20	21	31	14
28	2000-01-11	02	09	15	22	29	11
29	2000-01-18	09	12	17	26	31	15
30	2000-01-25	10	15	17	18	30	16
31	2000-02-01	14	20	21	24	28	17
32	2000-02-08	02	11	13	16	24	20
33	2000-02-15	02	03	08	09	30	23
34	2000-02-22	04	09	18	28	29	12
35	2000-02-29	10	11	18	24	26	29
36	2000-03-07	04	08	15	16	21	25
37	2000-03-14	06	07	10	16	31	20
38	2000-03-21	11	16	17	19	31	04
39	2000-03-28	01	09	15	26	30	11
40	2000-04-04	04	16	24	25	27	05
41	2000-04-11	10	16	19	22	26	29
42	2000-04-18	02	05	19	24	31	28
43	2000-04-25	03	06	11	16	30	05
44	2000-05-02	05	18	20	25	27	11
45	2000-05-09	07	13	19	24	26	11
46	2000-05-16	02	10	22	23	26	06
47	2000-05-23	02	06	08	17	29	10
48	2000-05-30	02	09	11	13	31	18
49	2000-06-06	10	13	14	23	25	12
50	2000-06-13	04	05	06	08	10	26
51	2000-06-20	05	07	15	16	31	02
52	2000-06-27	04	10	12	26	31	20
53	2000-07-04	04	13	14	15	17	30
54	2000-07-11	04	05	15	18	21	16
55	2000-07-18	04	10	11	18	31	03
56	2000-07-25	01	03	07	10	27	16
57	2000-08-01	03	21	23	27	29	13
58	2000-08-08	01	02	04	10	24	20
59	2000-08-15	09	15	20	21	22	10
60	2000-08-22	16	17	22	23	26	30
61	2000-08-29	09	23	24	29	30	05
62	2000-09-05	05	10	13	17	29	06
63	2000-09-12	03	05	06	22	28	01
64	2000-09-19	05	10	11	12	23	15
65	2000-09-26	08	09	10	17	23	15
66	2000-10-03	05	06	12	17	20	01
67	2000-10-10	04	05	08	14	27	06
68	2000-10-17	05	06	21	22	24	11
69	2000-10-24	05	06	09	23	30	02
70	2000-10-31	01	05	07	17	21	15
71	2000-11-07	11	17	18	22	30	02
72	2000-11-14	08	10	24	28	30	12
73	2000-11-21	04	06	08	26	30	07
74	2000-11-28	04	06	16	22	28	09
75	2000-12-05	07	14	16	17	29	01
76	2000-12-12	06	11	13	16	23	03
77	2000-12-19	02	03	10	22	26	23
78	2000-12-26	04	11	19	20	22	28
79	2001-01-09	02	13	16	26	30	11
80	2001-01-16	07	10	13	18	22	04
81	2001-01-23	01	07	10	16	25	18
82	2001-01-30	01	03	11	27	30	08
83	2001-02-06	01	06	11	23	26	03
84	2001-02-13	01	15	29	30	31	16
85	2001-02-20	09	11	14	20	29	02
86	2001-02-27	02	08	13	20	24	09
87	2001-03-06	01	05	12	23	27	14
88	2001-03-13	04	19	26	27	30	03
89	2001-03-20	05	07	24	27	29	14
90	2001-03-27	06	12	14	21	27	15
91	2001-04-03	08	09	15	18	22	03
92	2001-04-10	02	03	11	22	30	31
93	2001-04-17	11	15	22	26	27	08
94	2001-04-24	16	19	20	26	29	27
95	2001-05-01	04	05	07	08	31	26
96	2001-05-08	01	05	06	14	27	17
97	2001-05-15	06	12	15	19	22	03
98	2001-05-22	01	02	09	11	20	04
99	2001-05-29	03	07	10	13	15	26
100	2001-06-05	11	12	19	20	31	03
101	2001-06-12	02	10	11	13	26	22
102	2001-06-19	05	10	11	25	28	23
103	2001-06-26	10	13	19	21	30	14
104	2001-07-03	03	04	07	21	30	31
105	2001-07-10	06	11	14	21	27	20
106	2001-07-17	03	05	11	12	18	02
107	2001-07-24	04	08	12	26	27	18
108	2001-07-31	06	10	20	27	29	19
109	2001-08-07	03	05	15	19	22	25
110	2001-08-14	03	07	13	22	27	02
111	2001-08-21	10	19	24	27	31	06
112	2001-08-28	05	07	15	26	27	01
113	2001-09-04	01	02	06	16	28	04
114	2001-09-11	03	05	06	07	11	08
115	2001-09-18	10	15	29	30	31	16
116	2001-09-25	02	07	13	18	23	11
117	2001-10-02	05	11	12	23	24	03
118	2001-10-09	02	04	12	20	23	14
119	2001-10-16	12	14	25	29	30	05
120	2001-10-23	08	12	14	18	27	24
121	2001-10-30	05	17	18	24	30	20
122	2001-11-06	01	08	23	27	28	09
123	2001-11-13	01	05	06	13	15	21
124	2001-11-20	05	07	17	19	27	09
125	2001-11-27	02	21	22	27	29	24
126	2001-12-04	07	16	18	22	25	21
127	2001-12-11	08	09	18	29	31	24
128	2001-12-18	03	06	22	24	27	26
129	2001-12-25	02	13	20	25	30	12
130	2002-01-08	03	04	11	17	26	05
131	2002-01-15	01	09	12	18	21	15
132	2002-01-22	07	13	17	19	24	18
133	2002-01-29	04	07	11	18	31	27
